Frame,ID,X,Y,Area,Solidity,Ratio,VX,VY
6,2,323,28,912,0.5816,0.0000,0.0000,-4.0000
7,2,323,25,938,0.5863,0.0000,0.0000,-3.0000
8,2,324,18,742,0.6342,0.0000,1.0000,-7.0000
9,2,323,16,671,0.5991,0.0000,-1.0000,-2.0000
10,2,321,12,488,0.5648,0.0000,-2.0000,-4.0000
11,2,319,10,365,0.7213,0.0000,-2.0000,-2.0000
12,2,315,6,177,0.6020,0.0000,-4.0000,-4.0000
13,2,316,5,103,0.5150,0.0000,1.0000,-1.0000
14,2,316,4,64,0.7033,0.0000,0.0000,-1.0000
15,2,316,3,64,0.7033,0.0000,0.0000,-1.0000
16,2,316,2,64,0.7033,0.0000,0.0000,-1.0000
17,2,316,1,64,0.7033,0.0000,0.0000,-1.0000
18,2,316,0,64,0.7033,0.0000,0.0000,-1.0000
19,2,316,-1,64,0.7033,0.0000,0.0000,-1.0000
20,2,316,-2,64,0.7033,0.0000,0.0000,-1.0000
21,2,316,-3,64,0.7033,0.0000,0.0000,-1.0000
22,2,316,-4,64,0.7033,0.0000,0.0000,-1.0000
23,2,316,-5,64,0.7033,0.0000,0.0000,-1.0000
24,2,316,-6,64,0.7033,0.0000,0.0000,-1.0000
25,2,316,-7,64,0.7033,0.0000,0.0000,-1.0000
26,2,316,-8,64,0.7033,0.0000,0.0000,-1.0000
27,2,316,-9,64,0.7033,0.0000,0.0000,-1.0000
28,2,316,-10,64,0.7033,0.0000,0.0000,-1.0000
29,2,316,-11,64,0.7033,0.0000,0.0000,-1.0000
30,2,316,-12,64,0.7033,0.0000,0.0000,-1.0000
31,2,316,-13,64,0.7033,0.0000,0.0000,-1.0000
32,2,316,-14,64,0.7033,0.0000,0.0000,-1.0000
33,2,316,-15,64,0.7033,0.0000,0.0000,-1.0000
34,2,316,-16,64,0.7033,0.0000,0.0000,-1.0000
35,2,316,-17,64,0.7033,0.0000,0.0000,-1.0000
36,2,316,-18,64,0.7033,0.0000,0.0000,-1.0000
37,2,316,-19,64,0.7033,0.0000,0.0000,-1.0000
37,7,233,48,926,0.5188,0.0000,-3.0000,10.0000
38,2,316,-20,64,0.7033,0.0000,0.0000,-1.0000
38,7,234,62,924,0.5329,0.0000,1.0000,14.0000
39,2,316,-21,64,0.7033,0.0000,0.0000,-1.0000
39,7,233,68,938,0.5255,0.0000,-1.0000,6.0000
40,2,316,-22,64,0.7033,0.0000,0.0000,-1.0000
40,7,232,73,930,0.5471,0.0000,-1.0000,5.0000
41,2,316,-23,64,0.7033,0.0000,0.0000,-1.0000
41,7,232,76,943,0.5438,0.0000,0.0000,3.0000
42,2,316,-24,64,0.7033,0.0000,0.0000,-1.0000
42,7,233,81,923,0.5323,0.0000,1.0000,5.0000
43,2,316,-25,64,0.7033,0.0000,0.0000,-1.0000
43,7,233,82,917,0.5619,0.0000,0.0000,1.0000
44,7,234,87,886,0.6110,0.0000,1.0000,5.0000
45,7,236,91,881,0.5506,0.0000,2.0000,4.0000
45,8,248,26,931,0.5684,0.0000,-6.0000,6.0000
46,7,237,92,877,0.5658,0.0000,1.0000,1.0000
46,8,245,33,905,0.5518,0.0000,-3.0000,7.0000
47,7,237,72,1904,0.5342,0.0000,0.0000,-20.0000
47,8,242,40,905,0.5518,0.0000,-3.0000,7.0000
48,7,236,79,1915,0.4560,0.0000,-1.0000,7.0000
48,8,239,47,905,0.5518,0.0000,-3.0000,7.0000
49,7,236,89,1926,0.4452,0.0000,0.0000,10.0000
49,8,236,54,905,0.5518,0.0000,-3.0000,7.0000
50,7,243,120,925,0.6510,0.0000,7.0000,31.0000
50,8,231,67,932,0.5782,0.0000,-5.0000,13.0000
51,7,246,135,946,0.5733,0.0000,3.0000,15.0000
51,8,230,77,962,0.5606,0.0000,-1.0000,10.0000
52,7,246,142,913,0.5706,0.0000,0.0000,7.0000
52,8,229,83,944,0.5609,0.0000,-1.0000,6.0000
53,7,247,150,949,0.5582,0.0000,1.0000,8.0000
53,8,231,89,975,0.5749,0.0000,2.0000,6.0000
54,7,250,167,903,0.5533,0.0000,3.0000,17.0000
54,8,234,103,991,0.5843,0.0000,3.0000,14.0000
55,7,252,176,929,0.5806,0.0000,2.0000,9.0000
55,8,236,112,981,0.5971,0.0000,2.0000,9.0000
56,7,255,194,869,0.6207,0.0000,3.0000,18.0000
56,8,242,129,978,0.5126,0.0000,6.0000,17.0000
57,7,256,201,877,0.6496,0.0000,1.0000,7.0000
57,8,243,138,995,0.6056,0.0000,1.0000,9.0000
58,7,260,213,846,0.5834,0.0000,4.0000,12.0000
58,8,249,155,968,0.5892,0.0000,6.0000,17.0000
59,7,261,219,708,0.6167,0.0000,1.0000,6.0000
59,8,252,164,977,0.4982,0.0000,3.0000,9.0000
60,7,262,222,578,0.5695,0.0000,1.0000,3.0000
60,8,253,172,960,0.5843,0.0000,1.0000,8.0000
61,7,264,230,233,0.7191,0.0000,2.0000,8.0000
61,8,259,189,931,0.5705,0.0000,6.0000,17.0000
62,7,262,231,139,0.7637,0.0000,-2.0000,1.0000
62,8,260,195,950,0.5432,0.0000,1.0000,6.0000
63,7,261,211,867,0.5641,0.0000,-1.0000,-20.0000
63,8,261,201,950,0.5432,0.0000,1.0000,6.0000
64,7,263,216,783,0.5674,0.0000,2.0000,5.0000
64,8,262,207,950,0.5432,0.0000,1.0000,6.0000
65,7,263,224,437,0.7176,0.0000,0.0000,8.0000
65,8,263,213,950,0.5432,0.0000,1.0000,6.0000
66,7,259,228,334,0.6051,0.0000,-4.0000,4.0000
66,8,264,219,950,0.5432,0.0000,1.0000,6.0000
67,7,260,230,231,0.6754,0.0000,1.0000,2.0000
67,8,265,225,950,0.5432,0.0000,1.0000,6.0000
68,7,261,232,231,0.6754,0.0000,1.0000,2.0000
68,8,266,231,950,0.5432,0.0000,1.0000,6.0000
69,7,262,234,231,0.6754,0.0000,1.0000,2.0000
69,8,267,237,950,0.5432,0.0000,1.0000,6.0000
70,7,263,236,231,0.6754,0.0000,1.0000,2.0000
70,8,268,243,950,0.5432,0.0000,1.0000,6.0000
71,7,264,238,231,0.6754,0.0000,1.0000,2.0000
71,8,269,249,950,0.5432,0.0000,1.0000,6.0000
72,7,265,240,231,0.6754,0.0000,1.0000,2.0000
72,8,270,255,950,0.5432,0.0000,1.0000,6.0000
73,7,266,242,231,0.6754,0.0000,1.0000,2.0000
73,8,271,261,950,0.5432,0.0000,1.0000,6.0000
74,7,267,244,231,0.6754,0.0000,1.0000,2.0000
74,8,272,267,950,0.5432,0.0000,1.0000,6.0000
75,7,268,246,231,0.6754,0.0000,1.0000,2.0000
75,8,273,273,950,0.5432,0.0000,1.0000,6.0000
76,7,269,248,231,0.6754,0.0000,1.0000,2.0000
76,8,274,279,950,0.5432,0.0000,1.0000,6.0000
77,7,270,250,231,0.6754,0.0000,1.0000,2.0000
77,8,275,285,950,0.5432,0.0000,1.0000,6.0000
78,7,271,252,231,0.6754,0.0000,1.0000,2.0000
78,8,276,291,950,0.5432,0.0000,1.0000,6.0000
79,7,272,254,231,0.6754,0.0000,1.0000,2.0000
79,8,277,297,950,0.5432,0.0000,1.0000,6.0000
80,7,273,256,231,0.6754,0.0000,1.0000,2.0000
80,8,278,303,950,0.5432,0.0000,1.0000,6.0000
81,7,274,258,231,0.6754,0.0000,1.0000,2.0000
81,8,279,309,950,0.5432,0.0000,1.0000,6.0000
82,7,275,260,231,0.6754,0.0000,1.0000,2.0000
